cel,ShortName,ShortNameOld,Well,Plate,Timepoint,Treatment,CB315vUNT,METvUNT,CUB2vUNT,VANvUNT,GENTvUNT,CB315vMET,CB315vCUB2,CB315vVAN,CB315time,METtime,CUB2time,VANtime,gDNAship,gDNAlab,PCRyield,PCRperf
VAND0M16,VAND0M16,VAN -B-M 16,D8,1,1.Baseline,VANCOMYCIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.Baseline,638.4,57.72,,
VAND0M17,VAND0M17,VAN -B-M 17,E8,1,1.Baseline,VANCOMYCIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.Baseline,279.6,28.36,,
VAND0M18,VAND0M18,VAN -B-M 18,F8,1,1.Baseline,VANCOMYCIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.Baseline,252,18.02,,
VAND0M19,VAND0M19,VAN -B-M 19,G8,1,1.Baseline,VANCOMYCIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.Baseline,470.4,39.88,,
VAND0M20,VAND0M20,VAN -B-M 20,H8,1,1.Baseline,VANCOMYCIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.Baseline,355.2,27.52,,
VAND5M16,VAND5M16,VAN -D 5-M 16,A9,1,2.Day5,VANCOMYCIN,NA,NA,NA,VANCOMYCIN,NA,NA,NA,VANCOMYCIN,NA,NA,NA,2.Day5,254.4,18.74,,
VAND5M17,VAND5M17,VAN -D 5-M 17,B9,1,2.Day5,VANCOMYCIN,NA,NA,NA,VANCOMYCIN,NA,NA,NA,VANCOMYCIN,NA,NA,NA,2.Day5,434.4,49.44,,
VAND5M18,VAND5M18,VAN -D 5-M 18,C9,1,2.Day5,VANCOMYCIN,NA,NA,NA,VANCOMYCIN,NA,NA,NA,VANCOMYCIN,NA,NA,NA,2.Day5,324,47.71,,
VAND5M19,VAND5M19,VAN -D 5-M 19,D9,1,2.Day5,VANCOMYCIN,NA,NA,NA,VANCOMYCIN,NA,NA,NA,VANCOMYCIN,NA,NA,NA,2.Day5,324,66.27,,
VAND5M20,VAND5M20,VAN -D 5-M 20,E9,1,2.Day5,VANCOMYCIN,NA,NA,NA,VANCOMYCIN,NA,NA,NA,VANCOMYCIN,NA,NA,NA,2.Day5,450,60.4,,
VAND10M16,VAND10M16,VAN -D 10-M 16,F9,1,3.Day10,VANCOMYCIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,336,38.54,,
VAND10M17,VAND10M17,VAN -D 10-M 17,G9,1,3.Day10,VANCOMYCIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,360,44.24,,
VAND10M18,VAND10M18,VAN -D 10-M 18,H9,1,3.Day10,VANCOMYCIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,529.2,101.05,,
VAND10M19,VAND10M19,VAN -D 10-M 19,A10,1,3.Day10,VANCOMYCIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,302.4,27.58,,
VAND10M20,VAND10M20,VAN -D 10-M 20,B10,1,3.Day10,VANCOMYCIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,214.5,13.1,,
VAND15M16,VAND15M16,VAN -D 15-M 16,C10,1,4.Day15,VANCOMYCIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.Day15,372,41.67,,
VAND15M17,VAND15M17,VAN -D 15-M 17,D10,1,4.Day15,VANCOMYCIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.Day15,385.2,58.16,,
VAND15M18,VAND15M18,VAN -D 15-M 18,E10,1,4.Day15,VANCOMYCIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.Day15,295.2,7.17,,
VAND15M19,VAND15M19,VAN -D 15-M 19,F10,1,4.Day15,VANCOMYCIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.Day15,124.1,57.32,,
VAND15M20,VAND15M20,VAN -D 15-M 20,G10,1,4.Day15,VANCOMYCIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.Day15,648,51.62,,
GENTD0M21,GENTD0M21,GEN -B-M 21,H10,1,1.Baseline,GENTAMICIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,411.6,43.07,,
GENTD0M22,GENTD0M22,GEN -B-M 22,A11,1,1.Baseline,GENTAMICIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,426,43.23,,
GENTD0M23,GENTD0M23,GEN -B-M 23,B11,1,1.Baseline,GENTAMICIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,250.8,20.48,,
GENTD0M24,GENTD0M24,GEN -B-M 24,C11,1,1.Baseline,GENTAMICIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,336,32,,
GENTD0M25,GENTD0M25,GEN -B-M 25,D11,1,1.Baseline,GENTAMICIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,343.2,33.45,,
GENTD5M22,GENTD5M22,GEN -D 5-M 22,E11,1,2.Day5,GENTAMICIN,NA,NA,NA,NA,GENTAMICIN,NA,NA,NA,NA,NA,NA,NA,448.8,44.24,,
GENTD5M23,GENTD5M23,GEN -D 5-M 23,F11,1,2.Day5,GENTAMICIN,NA,NA,NA,NA,GENTAMICIN,NA,NA,NA,NA,NA,NA,NA,474,94.68,,
GENTD5M24,GENTD5M24,GEN -D 5-M 24,G11,1,2.Day5,GENTAMICIN,NA,NA,NA,NA,GENTAMICIN,NA,NA,NA,NA,NA,NA,NA,436.8,61.13,,
GENTD5M25,GENTD5M25,GEN -D 5-M 25,H11,1,2.Day5,GENTAMICIN,NA,NA,NA,NA,GENTAMICIN,NA,NA,NA,NA,NA,NA,NA,482.4,82.32,,
GENTD10M23,GENTD10M23,GEN -D 10-M 23,A12,1,3.Day10,GENTAMICIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,466.8,55.14,,
GENTD10M24,GENTD10M24,GEN -D 10-M 24,B12,1,3.Day10,GENTAMICIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,328.8,28.36,,fail
GENTD10M25,GENTD10M25,GEN -D 10-M 25,C12,1,3.Day10,GENTAMICIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,367.2,65.88,,
GENTD15M23,GENTD15M23,GEN -D 15-M 23,D12,1,4.Day15,GENTAMICIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,537.6,48.55,,
GENTD15M24,GENTD15M24,GEN -D 15-M 24,E12,1,4.Day15,GENTAMICIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,508.8,53.75,,
GENTD15M25,GENTD15M25,GEN -D 15-M 25,F12,1,4.Day15,GENTAMICIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,378,41.78,,
UNTD0M26,UNTD0M26,C -B-M 26,A1,2,1.Baseline,Untreated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,468,39.1,,
UNTD0M27,UNTD0M27,C -B-M 27,B1,2,1.Baseline,Untreated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,332.4,33.84,,
UNTD0M28,UNTD0M28,C -B-M 28,C1,2,1.Baseline,Untreated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,375.6,50.28,,
UNTD0M29,UNTD0M29,C -B-M 29,D1,2,1.Baseline,Untreated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,284.4,33.28,,
UNTD0M30,UNTD0M30,C -B-M 30,E1,2,1.Baseline,Untreated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,441.6,89.81,,
UNTD5M26,UNTD5M26,C -D 5-M 26,F1,2,2.Day5,Untreated,Untreated,Untreated,Untreated,Untreated,Untreated,NA,NA,NA,NA,NA,NA,NA,376.8,28.08,,
UNTD5M27,UNTD5M27,C -D 5-M 27,G1,2,2.Day5,Untreated,Untreated,Untreated,Untreated,Untreated,Untreated,NA,NA,NA,NA,NA,NA,NA,351.6,40.72,,
UNTD5M28,UNTD5M28,C -D 5-M 28,H1,2,2.Day5,Untreated,Untreated,Untreated,Untreated,Untreated,Untreated,NA,NA,NA,NA,NA,NA,NA,272.4,34.46,,
UNTD5M29,UNTD5M29,C -D 5-M 29,A2,2,2.Day5,Untreated,Untreated,Untreated,Untreated,Untreated,Untreated,NA,NA,NA,NA,NA,NA,NA,427.2,49.89,,
UNTD5M30,UNTD5M30,C -D 5-M 30,B2,2,2.Day5,Untreated,Untreated,Untreated,Untreated,Untreated,Untreated,NA,NA,NA,NA,NA,NA,NA,369.6,44.97,,
UNTD10M26,UNTD10M26,C -D 10-M 26,C2,2,3.Day10,Untreated,Untreated,Untreated,Untreated,Untreated,Untreated,NA,NA,NA,NA,NA,NA,NA,253.2,25.56,,
UNTD10M27,UNTD10M27,C -D 10-M 27,D2,2,3.Day10,Untreated,Untreated,Untreated,Untreated,Untreated,Untreated,NA,NA,NA,NA,NA,NA,NA,775.2,40.21,,
UNTD10M28,UNTD10M28,C -D 10-M 28,E2,2,3.Day10,Untreated,Untreated,Untreated,Untreated,Untreated,Untreated,NA,NA,NA,NA,NA,NA,NA,327.6,34.96,,
UNTD10M29,UNTD10M29,C -D 10-M 29,F2,2,3.Day10,Untreated,Untreated,Untreated,Untreated,Untreated,Untreated,NA,NA,NA,NA,NA,NA,NA,549.6,45.86,,
UNTD10M30,UNTD10M30,C -D 10-M 30,G2,2,3.Day10,Untreated,Untreated,Untreated,Untreated,Untreated,Untreated,NA,NA,NA,NA,NA,NA,NA,361.2,52.57,,
UNTD15M26,UNTD15M26,C -D 15-M 26,H2,2,4.Day15,Untreated,Untreated,Untreated,Untreated,Untreated,Untreated,NA,NA,NA,NA,NA,NA,NA,456,17.29,,
UNTD15M28,UNTD15M28,C -D 15-M 28,A3,2,4.Day15,Untreated,Untreated,Untreated,Untreated,Untreated,Untreated,NA,NA,NA,NA,NA,NA,NA,823.2,92.1,,
,,,,,,,,,,,,,,,,,,,,,,
